tahun,provinsi,jenis_kredit,nilai_miliar_rp,sumber,status
2014,Aceh,Perikanan,39.460464318,OJK SPI,real
2014,Aceh,"Pertanian, Perburuan & Kehutanan",1440.430844259,OJK SPI,real
2014,Aceh,Total,1479.891308577,OJK SPI,real
2014,Bali,Perikanan,171.256110535,OJK SPI,real
2014,Bali,"Pertanian, Perburuan & Kehutanan",1146.358852093,OJK SPI,real
2014,Bali,Total,1317.614962628,OJK SPI,real
2014,Banten,Perikanan,30.779981215,OJK SPI,real
2014,Banten,"Pertanian, Perburuan & Kehutanan",467.909456041,OJK SPI,real
2014,Banten,Total,498.689437256,OJK SPI,real
2014,Bengkulu,Perikanan,22.26834559,OJK SPI,real
2014,Bengkulu,"Pertanian, Perburuan & Kehutanan",961.5406628,OJK SPI,real
2014,Bengkulu,Total,983.8090083899999,OJK SPI,real
2014,DI Yogyakarta,Perikanan,79.438209833,OJK SPI,real
2014,DI Yogyakarta,"Pertanian, Perburuan & Kehutanan",572.773046844,OJK SPI,real
2014,DI Yogyakarta,Total,652.2112566769999,OJK SPI,real
2014,DKI Jakarta,Perikanan,3001.485880017,OJK SPI,real
2014,DKI Jakarta,"Pertanian, Perburuan & Kehutanan",92816.161934765,OJK SPI,real
2014,DKI Jakarta,Total,95817.647814782,OJK SPI,real
2014,Gorontalo,Perikanan,22.77534018,OJK SPI,real
2014,Gorontalo,"Pertanian, Perburuan & Kehutanan",602.736688578,OJK SPI,real
2014,Gorontalo,Total,625.512028758,OJK SPI,real
2014,Jambi,Perikanan,36.665809417,OJK SPI,real
2014,Jambi,"Pertanian, Perburuan & Kehutanan",4807.448368916,OJK SPI,real
2014,Jambi,Total,4844.1141783329995,OJK SPI,real
2014,Jawa Barat,Perikanan,389.824603412,OJK SPI,real
2014,Jawa Barat,"Pertanian, Perburuan & Kehutanan",5544.174960507,OJK SPI,real
2014,Jawa Barat,Total,5933.999563919,OJK SPI,real
2014,Jawa Tengah,Perikanan,812.670912499,OJK SPI,real
2014,Jawa Tengah,"Pertanian, Perburuan & Kehutanan",5281.731334853,OJK SPI,real
2014,Jawa Tengah,Total,6094.402247352,OJK SPI,real
2014,Jawa Timur,Perikanan,641.77516926,OJK SPI,real
2014,Jawa Timur,"Pertanian, Perburuan & Kehutanan",9440.035533054,OJK SPI,real
2014,Jawa Timur,Total,10081.810702314,OJK SPI,real
2014,Kalimantan Barat,Perikanan,121.603804815,OJK SPI,real
2014,Kalimantan Barat,"Pertanian, Perburuan & Kehutanan",5830.882577068,OJK SPI,real
2014,Kalimantan Barat,Total,5952.486381883,OJK SPI,real
2014,Kalimantan Selatan,Perikanan,122.517167215,OJK SPI,real
2014,Kalimantan Selatan,"Pertanian, Perburuan & Kehutanan",3708.153484877,OJK SPI,real
2014,Kalimantan Selatan,Total,3830.670652092,OJK SPI,real
2014,Kalimantan Tengah,Perikanan,20.331925622,OJK SPI,real
2014,Kalimantan Tengah,"Pertanian, Perburuan & Kehutanan",4928.144431084,OJK SPI,real
2014,Kalimantan Tengah,Total,4948.476356706,OJK SPI,real
2014,Kalimantan Timur,Perikanan,95.058852251,OJK SPI,real
2014,Kalimantan Timur,"Pertanian, Perburuan & Kehutanan",4434.322350787,OJK SPI,real
2014,Kalimantan Timur,Total,4529.3812030379995,OJK SPI,real
2014,Kepulauan Bangka Belitung,Perikanan,59.219545733,OJK SPI,real
2014,Kepulauan Bangka Belitung,"Pertanian, Perburuan & Kehutanan",223.499483967,OJK SPI,real
2014,Kepulauan Bangka Belitung,Total,282.7190297,OJK SPI,real
2014,Kepulauan Riau,Perikanan,67.913198212,OJK SPI,real
2014,Kepulauan Riau,"Pertanian, Perburuan & Kehutanan",94.289786695,OJK SPI,real
2014,Kepulauan Riau,Total,162.202984907,OJK SPI,real
2014,Lampung,Perikanan,595.051615978,OJK SPI,real
2014,Lampung,"Pertanian, Perburuan & Kehutanan",6193.92370999,OJK SPI,real
2014,Lampung,Total,6788.975325968,OJK SPI,real
2014,Maluku,Perikanan,47.376922247,OJK SPI,real
2014,Maluku,"Pertanian, Perburuan & Kehutanan",49.197772775,OJK SPI,real
2014,Maluku,Total,96.574695022,OJK SPI,real
2014,Maluku Utara,Perikanan,10.451373699,OJK SPI,real
2014,Maluku Utara,"Pertanian, Perburuan & Kehutanan",11.953424057,OJK SPI,real
2014,Maluku Utara,Total,22.404797756,OJK SPI,real
2014,Nusa Tenggara Barat,Perikanan,33.357719284,OJK SPI,real
2014,Nusa Tenggara Barat,"Pertanian, Perburuan & Kehutanan",314.993951567,OJK SPI,real
2014,Nusa Tenggara Barat,Total,348.351670851,OJK SPI,real
2014,Nusa Tenggara Timur,Perikanan,34.448099078,OJK SPI,real
2014,Nusa Tenggara Timur,"Pertanian, Perburuan & Kehutanan",176.501744435,OJK SPI,real
2014,Nusa Tenggara Timur,Total,210.94984351300002,OJK SPI,real
2014,Papua,Perikanan,46.475314052,OJK SPI,real
2014,Papua,"Pertanian, Perburuan & Kehutanan",668.465858814,OJK SPI,real
2014,Papua,Total,714.941172866,OJK SPI,real
2014,Papua Barat,Perikanan,27.062817421,OJK SPI,real
2014,Papua Barat,"Pertanian, Perburuan & Kehutanan",83.889606075,OJK SPI,real
2014,Papua Barat,Total,110.952423496,OJK SPI,real
2014,Riau,Perikanan,106.153298534,OJK SPI,real
2014,Riau,"Pertanian, Perburuan & Kehutanan",11278.940799881,OJK SPI,real
2014,Riau,Total,11385.094098415,OJK SPI,real
2014,Sulawesi Barat,Perikanan,6.072262074,OJK SPI,real
2014,Sulawesi Barat,"Pertanian, Perburuan & Kehutanan",248.39796594,OJK SPI,real
2014,Sulawesi Barat,Total,254.470228014,OJK SPI,real
2014,Sulawesi Selatan,Perikanan,245.967018373,OJK SPI,real
2014,Sulawesi Selatan,"Pertanian, Perburuan & Kehutanan",1260.530594883,OJK SPI,real
2014,Sulawesi Selatan,Total,1506.497613256,OJK SPI,real
2014,Sulawesi Tengah,Perikanan,71.206632383,OJK SPI,real
2014,Sulawesi Tengah,"Pertanian, Perburuan & Kehutanan",939.882177102,OJK SPI,real
2014,Sulawesi Tengah,Total,1011.088809485,OJK SPI,real
2014,Sulawesi Tenggara,Perikanan,47.281780026,OJK SPI,real
2014,Sulawesi Tenggara,"Pertanian, Perburuan & Kehutanan",79.952073167,OJK SPI,real
2014,Sulawesi Tenggara,Total,127.23385319299999,OJK SPI,real
2014,Sulawesi Utara,Perikanan,223.405649318,OJK SPI,real
2014,Sulawesi Utara,"Pertanian, Perburuan & Kehutanan",260.532521633,OJK SPI,real
2014,Sulawesi Utara,Total,483.93817095099996,OJK SPI,real
2014,Sumatera Barat,Perikanan,78.44177866,OJK SPI,real
2014,Sumatera Barat,"Pertanian, Perburuan & Kehutanan",4000.587367316,OJK SPI,real
2014,Sumatera Barat,Total,4079.029145976,OJK SPI,real
2014,Sumatera Selatan,Perikanan,58.934568771,OJK SPI,real
2014,Sumatera Selatan,"Pertanian, Perburuan & Kehutanan",11325.71894183,OJK SPI,real
2014,Sumatera Selatan,Total,11384.653510601,OJK SPI,real
2014,Sumatera Utara,Perikanan,331.673844884,OJK SPI,real
2014,Sumatera Utara,"Pertanian, Perburuan & Kehutanan",30083.090677691,OJK SPI,real
2014,Sumatera Utara,Total,30414.764522575002,OJK SPI,real
2015,Aceh,Perikanan,50.330810529,OJK SPI,real
2015,Aceh,"Pertanian, Perburuan & Kehutanan",2001.086503895,OJK SPI,real
2015,Aceh,Total,2051.417314424,OJK SPI,real
2015,Bali,Perikanan,249.249800187,OJK SPI,real
2015,Bali,"Pertanian, Perburuan & Kehutanan",1388.003336012,OJK SPI,real
2015,Bali,Total,1637.253136199,OJK SPI,real
2015,Banten,Perikanan,33.60592667,OJK SPI,real
2015,Banten,"Pertanian, Perburuan & Kehutanan",216.764091613,OJK SPI,real
2015,Banten,Total,250.370018283,OJK SPI,real
2015,Bengkulu,Perikanan,28.584337727,OJK SPI,real
2015,Bengkulu,"Pertanian, Perburuan & Kehutanan",1142.831432367,OJK SPI,real
2015,Bengkulu,Total,1171.415770094,OJK SPI,real
2015,DI Yogyakarta,Perikanan,85.310545899,OJK SPI,real
2015,DI Yogyakarta,"Pertanian, Perburuan & Kehutanan",554.580400249,OJK SPI,real
2015,DI Yogyakarta,Total,639.890946148,OJK SPI,real
2015,DKI Jakarta,Perikanan,3570.456761811,OJK SPI,real
2015,DKI Jakarta,"Pertanian, Perburuan & Kehutanan",123427.455956723,OJK SPI,real
2015,DKI Jakarta,Total,126997.912718534,OJK SPI,real
2015,Gorontalo,Perikanan,31.284144115,OJK SPI,real
2015,Gorontalo,"Pertanian, Perburuan & Kehutanan",610.811620605,OJK SPI,real
2015,Gorontalo,Total,642.09576472,OJK SPI,real
2015,Jambi,Perikanan,48.714802483,OJK SPI,real
2015,Jambi,"Pertanian, Perburuan & Kehutanan",5282.435753652,OJK SPI,real
2015,Jambi,Total,5331.150556135,OJK SPI,real
2015,Jawa Barat,Perikanan,480.046784793,OJK SPI,real
2015,Jawa Barat,"Pertanian, Perburuan & Kehutanan",5270.368793785,OJK SPI,real
2015,Jawa Barat,Total,5750.415578578,OJK SPI,real
2015,Jawa Tengah,Perikanan,934.474762423,OJK SPI,real
2015,Jawa Tengah,"Pertanian, Perburuan & Kehutanan",6032.958563848,OJK SPI,real
2015,Jawa Tengah,Total,6967.433326271001,OJK SPI,real
2015,Jawa Timur,Perikanan,674.103689739,OJK SPI,real
2015,Jawa Timur,"Pertanian, Perburuan & Kehutanan",9095.055554309,OJK SPI,real
2015,Jawa Timur,Total,9769.159244048,OJK SPI,real
2015,Kalimantan Barat,Perikanan,127.493697339,OJK SPI,real
2015,Kalimantan Barat,"Pertanian, Perburuan & Kehutanan",7061.921457156,OJK SPI,real
2015,Kalimantan Barat,Total,7189.415154495,OJK SPI,real
2015,Kalimantan Selatan,Perikanan,109.9969979,OJK SPI,real
2015,Kalimantan Selatan,"Pertanian, Perburuan & Kehutanan",6583.177171872,OJK SPI,real
2015,Kalimantan Selatan,Total,6693.174169772,OJK SPI,real
2015,Kalimantan Tengah,Perikanan,35.278284692,OJK SPI,real
2015,Kalimantan Tengah,"Pertanian, Perburuan & Kehutanan",3723.653759314,OJK SPI,real
2015,Kalimantan Tengah,Total,3758.932044006,OJK SPI,real
2015,Kalimantan Timur,Perikanan,108.062933019,OJK SPI,real
2015,Kalimantan Timur,"Pertanian, Perburuan & Kehutanan",3887.68780625,OJK SPI,real
2015,Kalimantan Timur,Total,3995.750739269,OJK SPI,real
2015,Kepulauan Bangka Belitung,Perikanan,81.184531868,OJK SPI,real
2015,Kepulauan Bangka Belitung,"Pertanian, Perburuan & Kehutanan",248.749427415,OJK SPI,real
2015,Kepulauan Bangka Belitung,Total,329.93395928300004,OJK SPI,real
2015,Kepulauan Riau,Perikanan,63.397632915,OJK SPI,real
2015,Kepulauan Riau,"Pertanian, Perburuan & Kehutanan",102.214968151,OJK SPI,real
2015,Kepulauan Riau,Total,165.612601066,OJK SPI,real
2015,Lampung,Perikanan,597.283230444,OJK SPI,real
2015,Lampung,"Pertanian, Perburuan & Kehutanan",7576.743254442,OJK SPI,real
2015,Lampung,Total,8174.026484886,OJK SPI,real
2015,Maluku,Perikanan,54.991196041,OJK SPI,real
2015,Maluku,"Pertanian, Perburuan & Kehutanan",65.158259106,OJK SPI,real
2015,Maluku,Total,120.149455147,OJK SPI,real
2015,Maluku Utara,Perikanan,15.943949126,OJK SPI,real
2015,Maluku Utara,"Pertanian, Perburuan & Kehutanan",15.466086157,OJK SPI,real
2015,Maluku Utara,Total,31.410035283,OJK SPI,real
2015,Nusa Tenggara Barat,Perikanan,46.069698506,OJK SPI,real
2015,Nusa Tenggara Barat,"Pertanian, Perburuan & Kehutanan",428.646510857,OJK SPI,real
2015,Nusa Tenggara Barat,Total,474.716209363,OJK SPI,real
2015,Nusa Tenggara Timur,Perikanan,51.497904148,OJK SPI,real
2015,Nusa Tenggara Timur,"Pertanian, Perburuan & Kehutanan",178.334039784,OJK SPI,real
2015,Nusa Tenggara Timur,Total,229.831943932,OJK SPI,real
2015,Papua,Perikanan,61.93962498,OJK SPI,real
2015,Papua,"Pertanian, Perburuan & Kehutanan",637.68464502,OJK SPI,real
2015,Papua,Total,699.6242699999999,OJK SPI,real
2015,Papua Barat,Perikanan,23.36173335,OJK SPI,real
2015,Papua Barat,"Pertanian, Perburuan & Kehutanan",92.155709742,OJK SPI,real
2015,Papua Barat,Total,115.517443092,OJK SPI,real
2015,Riau,Perikanan,45.69466517,OJK SPI,real
2015,Riau,"Pertanian, Perburuan & Kehutanan",12577.525629864,OJK SPI,real
2015,Riau,Total,12623.220295034,OJK SPI,real
2015,Sulawesi Barat,Perikanan,12.039114738,OJK SPI,real
2015,Sulawesi Barat,"Pertanian, Perburuan & Kehutanan",306.990664195,OJK SPI,real
2015,Sulawesi Barat,Total,319.02977893300005,OJK SPI,real
2015,Sulawesi Selatan,Perikanan,324.970387169,OJK SPI,real
2015,Sulawesi Selatan,"Pertanian, Perburuan & Kehutanan",2135.892855102,OJK SPI,real
2015,Sulawesi Selatan,Total,2460.863242271,OJK SPI,real
2015,Sulawesi Tengah,Perikanan,100.343826709,OJK SPI,real
2015,Sulawesi Tengah,"Pertanian, Perburuan & Kehutanan",1101.322033839,OJK SPI,real
2015,Sulawesi Tengah,Total,1201.665860548,OJK SPI,real
2015,Sulawesi Tenggara,Perikanan,67.67301406,OJK SPI,real
2015,Sulawesi Tenggara,"Pertanian, Perburuan & Kehutanan",132.135259359,OJK SPI,real
2015,Sulawesi Tenggara,Total,199.808273419,OJK SPI,real
2015,Sulawesi Utara,Perikanan,224.230919944,OJK SPI,real
2015,Sulawesi Utara,"Pertanian, Perburuan & Kehutanan",314.428848686,OJK SPI,real
2015,Sulawesi Utara,Total,538.6597686299999,OJK SPI,real
2015,Sumatera Barat,Perikanan,93.952717363,OJK SPI,real
2015,Sumatera Barat,"Pertanian, Perburuan & Kehutanan",3857.880671506,OJK SPI,real
2015,Sumatera Barat,Total,3951.833388869,OJK SPI,real
2015,Sumatera Selatan,Perikanan,68.849318147,OJK SPI,real
2015,Sumatera Selatan,"Pertanian, Perburuan & Kehutanan",11226.873807849,OJK SPI,real
2015,Sumatera Selatan,Total,11295.723125996,OJK SPI,real
2015,Sumatera Utara,Perikanan,342.862523148,OJK SPI,real
2015,Sumatera Utara,"Pertanian, Perburuan & Kehutanan",34650.537181271,OJK SPI,real
2015,Sumatera Utara,Total,34993.399704419,OJK SPI,real
2016,Aceh,Perikanan,64.930572544,OJK SPI,real
2016,Aceh,"Pertanian, Perburuan & Kehutanan",2268.982718146,OJK SPI,real
2016,Aceh,Total,2333.91329069,OJK SPI,real
2016,Bali,Perikanan,149.898897491,OJK SPI,real
2016,Bali,"Pertanian, Perburuan & Kehutanan",1603.333235975,OJK SPI,real
2016,Bali,Total,1753.232133466,OJK SPI,real
2016,Banten,Perikanan,40.846365394,OJK SPI,real
2016,Banten,"Pertanian, Perburuan & Kehutanan",313.708456654,OJK SPI,real
2016,Banten,Total,354.554822048,OJK SPI,real
2016,Bengkulu,Perikanan,31.730303358,OJK SPI,real
2016,Bengkulu,"Pertanian, Perburuan & Kehutanan",1238.939240787,OJK SPI,real
2016,Bengkulu,Total,1270.669544145,OJK SPI,real
2016,DI Yogyakarta,Perikanan,87.792704394,OJK SPI,real
2016,DI Yogyakarta,"Pertanian, Perburuan & Kehutanan",519.630530636,OJK SPI,real
2016,DI Yogyakarta,Total,607.42323503,OJK SPI,real
2016,DKI Jakarta,Perikanan,3843.164059351,OJK SPI,real
2016,DKI Jakarta,"Pertanian, Perburuan & Kehutanan",135437.757383822,OJK SPI,real
2016,DKI Jakarta,Total,139280.921443173,OJK SPI,real
2016,Gorontalo,Perikanan,36.823041363,OJK SPI,real
2016,Gorontalo,"Pertanian, Perburuan & Kehutanan",549.637233761,OJK SPI,real
2016,Gorontalo,Total,586.460275124,OJK SPI,real
2016,Jambi,Perikanan,56.61315626,OJK SPI,real
2016,Jambi,"Pertanian, Perburuan & Kehutanan",5638.575737962,OJK SPI,real
2016,Jambi,Total,5695.188894222,OJK SPI,real
2016,Jawa Barat,Perikanan,473.641486598,OJK SPI,real
2016,Jawa Barat,"Pertanian, Perburuan & Kehutanan",5475.136793468,OJK SPI,real
2016,Jawa Barat,Total,5948.778280066,OJK SPI,real
2016,Jawa Tengah,Perikanan,835.648877204,OJK SPI,real
2016,Jawa Tengah,"Pertanian, Perburuan & Kehutanan",6718.591746353,OJK SPI,real
2016,Jawa Tengah,Total,7554.240623557001,OJK SPI,real
2016,Jawa Timur,Perikanan,802.339375614,OJK SPI,real
2016,Jawa Timur,"Pertanian, Perburuan & Kehutanan",9870.483336405,OJK SPI,real
2016,Jawa Timur,Total,10672.822712019,OJK SPI,real
2016,Kalimantan Barat,Perikanan,129.301842311,OJK SPI,real
2016,Kalimantan Barat,"Pertanian, Perburuan & Kehutanan",11229.413466454,OJK SPI,real
2016,Kalimantan Barat,Total,11358.715308765,OJK SPI,real
2016,Kalimantan Selatan,Perikanan,129.880287375,OJK SPI,real
2016,Kalimantan Selatan,"Pertanian, Perburuan & Kehutanan",7188.639939376,OJK SPI,real
2016,Kalimantan Selatan,Total,7318.520226751,OJK SPI,real
2016,Kalimantan Tengah,Perikanan,58.651669044,OJK SPI,real
2016,Kalimantan Tengah,"Pertanian, Perburuan & Kehutanan",3761.62451612,OJK SPI,real
2016,Kalimantan Tengah,Total,3820.276185164,OJK SPI,real
2016,Kalimantan Timur,Perikanan,130.721199438,OJK SPI,real
2016,Kalimantan Timur,"Pertanian, Perburuan & Kehutanan",3425.985441088,OJK SPI,real
2016,Kalimantan Timur,Total,3556.706640526,OJK SPI,real
2016,Kepulauan Bangka Belitung,Perikanan,96.297423497,OJK SPI,real
2016,Kepulauan Bangka Belitung,"Pertanian, Perburuan & Kehutanan",370.542447744,OJK SPI,real
2016,Kepulauan Bangka Belitung,Total,466.839871241,OJK SPI,real
2016,Kepulauan Riau,Perikanan,72.48719955,OJK SPI,real
2016,Kepulauan Riau,"Pertanian, Perburuan & Kehutanan",66.826530768,OJK SPI,real
2016,Kepulauan Riau,Total,139.313730318,OJK SPI,real
2016,Lampung,Perikanan,590.165349032,OJK SPI,real
2016,Lampung,"Pertanian, Perburuan & Kehutanan",7938.923746262,OJK SPI,real
2016,Lampung,Total,8529.089095294,OJK SPI,real
2016,Maluku,Perikanan,58.481557846,OJK SPI,real
2016,Maluku,"Pertanian, Perburuan & Kehutanan",104.653440086,OJK SPI,real
2016,Maluku,Total,163.134997932,OJK SPI,real
2016,Maluku Utara,Perikanan,20.828786428,OJK SPI,real
2016,Maluku Utara,"Pertanian, Perburuan & Kehutanan",26.706451259,OJK SPI,real
2016,Maluku Utara,Total,47.535237687000006,OJK SPI,real
2016,Nusa Tenggara Barat,Perikanan,64.891808521,OJK SPI,real
2016,Nusa Tenggara Barat,"Pertanian, Perburuan & Kehutanan",667.49882476,OJK SPI,real
2016,Nusa Tenggara Barat,Total,732.3906332810001,OJK SPI,real
2016,Nusa Tenggara Timur,Perikanan,70.889814826,OJK SPI,real
2016,Nusa Tenggara Timur,"Pertanian, Perburuan & Kehutanan",250.903412807,OJK SPI,real
2016,Nusa Tenggara Timur,Total,321.793227633,OJK SPI,real
2016,Papua,Perikanan,64.641180563,OJK SPI,real
2016,Papua,"Pertanian, Perburuan & Kehutanan",637.412766873,OJK SPI,real
2016,Papua,Total,702.053947436,OJK SPI,real
2016,Papua Barat,Perikanan,36.51178131,OJK SPI,real
2016,Papua Barat,"Pertanian, Perburuan & Kehutanan",104.626392075,OJK SPI,real
2016,Papua Barat,Total,141.13817338500002,OJK SPI,real
2016,Riau,Perikanan,62.64911705,OJK SPI,real
2016,Riau,"Pertanian, Perburuan & Kehutanan",12813.769770225,OJK SPI,real
2016,Riau,Total,12876.418887275,OJK SPI,real
2016,Sulawesi Barat,Perikanan,13.718372843,OJK SPI,real
2016,Sulawesi Barat,"Pertanian, Perburuan & Kehutanan",364.193269262,OJK SPI,real
2016,Sulawesi Barat,Total,377.911642105,OJK SPI,real
2016,Sulawesi Selatan,Perikanan,426.639695303,OJK SPI,real
2016,Sulawesi Selatan,"Pertanian, Perburuan & Kehutanan",2815.310526356,OJK SPI,real
2016,Sulawesi Selatan,Total,3241.950221659,OJK SPI,real
2016,Sulawesi Tengah,Perikanan,111.088996925,OJK SPI,real
2016,Sulawesi Tengah,"Pertanian, Perburuan & Kehutanan",1233.385348116,OJK SPI,real
2016,Sulawesi Tengah,Total,1344.474345041,OJK SPI,real
2016,Sulawesi Tenggara,Perikanan,88.716423737,OJK SPI,real
2016,Sulawesi Tenggara,"Pertanian, Perburuan & Kehutanan",238.37153899,OJK SPI,real
2016,Sulawesi Tenggara,Total,327.087962727,OJK SPI,real
2016,Sulawesi Utara,Perikanan,181.670003276,OJK SPI,real
2016,Sulawesi Utara,"Pertanian, Perburuan & Kehutanan",414.490884682,OJK SPI,real
2016,Sulawesi Utara,Total,596.160887958,OJK SPI,real
2016,Sumatera Barat,Perikanan,107.482648829,OJK SPI,real
2016,Sumatera Barat,"Pertanian, Perburuan & Kehutanan",3820.265820883,OJK SPI,real
2016,Sumatera Barat,Total,3927.748469712,OJK SPI,real
2016,Sumatera Selatan,Perikanan,93.54776994,OJK SPI,real
2016,Sumatera Selatan,"Pertanian, Perburuan & Kehutanan",11626.329914598,OJK SPI,real
2016,Sumatera Selatan,Total,11719.877684538,OJK SPI,real
2016,Sumatera Utara,Perikanan,349.242732021,OJK SPI,real
2016,Sumatera Utara,"Pertanian, Perburuan & Kehutanan",39383.123179813,OJK SPI,real
2016,Sumatera Utara,Total,39732.365911834,OJK SPI,real
2017,Aceh,Perikanan,64.930572544,OJK SPI,real
2017,Aceh,"Pertanian, Perburuan & Kehutanan",2268.982718146,OJK SPI,real
2017,Aceh,Total,2333.91329069,OJK SPI,real
2017,Bali,Perikanan,149.898897491,OJK SPI,real
2017,Bali,"Pertanian, Perburuan & Kehutanan",1603.333235975,OJK SPI,real
2017,Bali,Total,1753.232133466,OJK SPI,real
2017,Banten,Perikanan,40.846365394,OJK SPI,real
2017,Banten,"Pertanian, Perburuan & Kehutanan",313.708456654,OJK SPI,real
2017,Banten,Total,354.554822048,OJK SPI,real
2017,Bengkulu,Perikanan,31.730303358,OJK SPI,real
2017,Bengkulu,"Pertanian, Perburuan & Kehutanan",1238.939240787,OJK SPI,real
2017,Bengkulu,Total,1270.669544145,OJK SPI,real
2017,DI Yogyakarta,Perikanan,87.792704394,OJK SPI,real
2017,DI Yogyakarta,"Pertanian, Perburuan & Kehutanan",519.630530636,OJK SPI,real
2017,DI Yogyakarta,Total,607.42323503,OJK SPI,real
2017,DKI Jakarta,Perikanan,3843.164059351,OJK SPI,real
2017,DKI Jakarta,"Pertanian, Perburuan & Kehutanan",135437.757383822,OJK SPI,real
2017,DKI Jakarta,Total,139280.921443173,OJK SPI,real
2017,Gorontalo,Perikanan,36.823041363,OJK SPI,real
2017,Gorontalo,"Pertanian, Perburuan & Kehutanan",549.637233761,OJK SPI,real
2017,Gorontalo,Total,586.460275124,OJK SPI,real
2017,Jambi,Perikanan,56.61315626,OJK SPI,real
2017,Jambi,"Pertanian, Perburuan & Kehutanan",5638.575737962,OJK SPI,real
2017,Jambi,Total,5695.188894222,OJK SPI,real
2017,Jawa Barat,Perikanan,473.641486598,OJK SPI,real
2017,Jawa Barat,"Pertanian, Perburuan & Kehutanan",5475.136793468,OJK SPI,real
