provinsi,subsektor,volume_ton,nilai_juta_usd
Aceh,Pertanian (BPS Sektor),,104.0
Bali,Pertanian (BPS Sektor),,42.7
Banten,Pertanian (BPS Sektor),,74.5
Bengkulu,Pertanian (BPS Sektor),,5.6
DI Yogyakarta,Pertanian (BPS Sektor),,4.2
DKI Jakarta,Pertanian (BPS Sektor),,440.3
Gorontalo,Pertanian (BPS Sektor),,0.1
Jambi,Pertanian (BPS Sektor),,252.2
Jawa Barat,Pertanian (BPS Sektor),,150.8
Jawa Tengah,Pertanian (BPS Sektor),,178.5
Jawa Timur,Pertanian (BPS Sektor),,779.3
Kalimantan Barat,Pertanian (BPS Sektor),,88.7
Kalimantan Selatan,Pertanian (BPS Sektor),,5.1
Kalimantan Tengah,Pertanian (BPS Sektor),,16.4
Kalimantan Timur,Pertanian (BPS Sektor),,19.3
Kalimantan Utara,Pertanian (BPS Sektor),,45.0
Kepulauan Bangka Belitung,Pertanian (BPS Sektor),,49.8
Kepulauan Riau,Pertanian (BPS Sektor),,122.0
Lampung,Pertanian (BPS Sektor),,514.4
Maluku,Pertanian (BPS Sektor),,16.0
Maluku Utara,Pertanian (BPS Sektor),,3.4
Nusa Tenggara Barat,Pertanian (BPS Sektor),,36.1
Nusa Tenggara Timur,Pertanian (BPS Sektor),,14.4
Papua,Pertanian (BPS Sektor),,0.4
Papua Barat,Pertanian (BPS Sektor),,14.7
Riau,Pertanian (BPS Sektor),,260.8
Sulawesi Barat,Pertanian (BPS Sektor),,10.8
Sulawesi Selatan,Pertanian (BPS Sektor),,228.5
Sulawesi Tengah,Pertanian (BPS Sektor),,12.1
Sulawesi Tenggara,Pertanian (BPS Sektor),,5.4
Sulawesi Utara,Pertanian (BPS Sektor),,41.2
Sumatera Barat,Pertanian (BPS Sektor),,100.4
Sumatera Selatan,Pertanian (BPS Sektor),,54.5
Sumatera Utara,Pertanian (BPS Sektor),,580.0
