provinsi,subsektor,volume_ton,nilai_juta_usd
Aceh,Pertanian (BPS HS01-24),2473982.466,1701.271393
Sumatera Barat,Pertanian (BPS HS01-24),313091.803,160.362001
Jambi,Pertanian (BPS HS01-24),1288.634,1.491809
Sumatera Selatan,Pertanian (BPS HS01-24),92499.059,55.630993
Lampung,Pertanian (BPS HS01-24),1599842.709,1056.01334
Kepulauan Riau,Pertanian (BPS HS01-24),190146.578,401.037186
DKI Jakarta,Pertanian (BPS HS01-24),8448026.273,9414.597123
Jawa Tengah,Pertanian (BPS HS01-24),1883638.115,1361.96325
DI Yogyakarta,Pertanian (BPS HS01-24),3.007,0.299496
Jawa Timur,Pertanian (BPS HS01-24),11223456.385,7861.797666
Banten,Pertanian (BPS HS01-24),3858154.722,2188.448365
Bali,Pertanian (BPS HS01-24),225.693,6.77095
Nusa Tenggara Barat,Pertanian (BPS HS01-24),20000.0,10.42053
Nusa Tenggara Timur,Pertanian (BPS HS01-24),151872.497,93.381015
Kalimantan Selatan,Pertanian (BPS HS01-24),1039.49,0.375921
Kalimantan Timur,Pertanian (BPS HS01-24),22185.706,13.565284
Kalimantan Utara,Pertanian (BPS HS01-24),15452.997,136.610137
Sulawesi Utara,Pertanian (BPS HS01-24),33954.759,25.364976
Sulawesi Tengah,Pertanian (BPS HS01-24),4870.951,3.258604
Sulawesi Selatan,Pertanian (BPS HS01-24),1216919.743,586.639928
Sulawesi Tenggara,Pertanian (BPS HS01-24),4653.0,2.912778
Gorontalo,Pertanian (BPS HS01-24),20000.0,10.5642
Maluku,Pertanian (BPS HS01-24),19250.0,11.73995
Maluku Utara,Pertanian (BPS HS01-24),255.84,0.080224
Papua Barat Daya,Pertanian (BPS HS01-24),7500.0,4.8669
Papua,Pertanian (BPS HS01-24),4031.868,3.032847
