tahun,provinsi,ntp,sumber,status
2019,Aceh,98.38,BPS NTP (2018=100),real
2019,Bali,98.16,BPS NTP (2018=100),real
2019,Banten,101.71,BPS NTP (2018=100),real
2019,Bengkulu,104.83,BPS NTP (2018=100),real
2019,DI Yogyakarta,102.57,BPS NTP (2018=100),real
2019,DKI Jakarta,99.86,BPS NTP (2018=100),real
2019,Gorontalo,99.91,BPS NTP (2018=100),real
2019,Jambi,101.75,BPS NTP (2018=100),real
2019,Jawa Barat,101.33,BPS NTP (2018=100),real
2019,Jawa Tengah,101.85,BPS NTP (2018=100),real
2019,Jawa Timur,101.17,BPS NTP (2018=100),real
2019,Kalimantan Barat,102.87,BPS NTP (2018=100),real
2019,Kalimantan Selatan,99.95,BPS NTP (2018=100),real
2019,Kalimantan Tengah,102.66,BPS NTP (2018=100),real
2019,Kalimantan Timur,105.38,BPS NTP (2018=100),real
2019,Kalimantan Utara,101.81,BPS NTP (2018=100),real
2019,Kepulauan Bangka Belitung,102.35,BPS NTP (2018=100),real
2019,Kepulauan Riau,101.11,BPS NTP (2018=100),real
2019,Lampung,96.96,BPS NTP (2018=100),real
2019,Maluku,98.41,BPS NTP (2018=100),real
2019,Maluku Utara,97.99,BPS NTP (2018=100),real
2019,Nusa Tenggara Barat,104.54,BPS NTP (2018=100),real
2019,Nusa Tenggara Timur,97.07,BPS NTP (2018=100),real
2019,Papua,101.67,BPS NTP (2018=100),real
2019,Papua Barat,101.98,BPS NTP (2018=100),real
2019,Riau,106.39,BPS NTP (2018=100),real
2019,Sulawesi Barat,103.59,BPS NTP (2018=100),real
2019,Sulawesi Selatan,96.21,BPS NTP (2018=100),real
2019,Sulawesi Tengah,96.08,BPS NTP (2018=100),real
2019,Sulawesi Tenggara,96.9,BPS NTP (2018=100),real
2019,Sulawesi Utara,97.27,BPS NTP (2018=100),real
2019,Sumatera Barat,101.05,BPS NTP (2018=100),real
2019,Sumatera Selatan,98.92,BPS NTP (2018=100),real
2019,Sumatera Utara,104.39,BPS NTP (2018=100),real
2020,Aceh,98.74,BPS NTP (2018=100),real
2020,Bali,94.27,BPS NTP (2018=100),real
2020,Banten,102.27,BPS NTP (2018=100),real
2020,Bengkulu,114.1,BPS NTP (2018=100),real
2020,DI Yogyakarta,101.12,BPS NTP (2018=100),real
2020,DKI Jakarta,99.55,BPS NTP (2018=100),real
2020,Gorontalo,99.42,BPS NTP (2018=100),real
2020,Jambi,107.62,BPS NTP (2018=100),real
2020,Jawa Barat,101.41,BPS NTP (2018=100),real
2020,Jawa Tengah,101.79,BPS NTP (2018=100),real
2020,Jawa Timur,101.77,BPS NTP (2018=100),real
2020,Kalimantan Barat,108.46,BPS NTP (2018=100),real
2020,Kalimantan Selatan,101.98,BPS NTP (2018=100),real
2020,Kalimantan Tengah,103.55,BPS NTP (2018=100),real
2020,Kalimantan Timur,111.36,BPS NTP (2018=100),real
2020,Kalimantan Utara,102.75,BPS NTP (2018=100),real
2020,Kepulauan Bangka Belitung,103.95,BPS NTP (2018=100),real
2020,Kepulauan Riau,99.19,BPS NTP (2018=100),real
2020,Lampung,94.73,BPS NTP (2018=100),real
2020,Maluku,96.77,BPS NTP (2018=100),real
2020,Maluku Utara,96.52,BPS NTP (2018=100),real
2020,Nusa Tenggara Barat,107.3,BPS NTP (2018=100),real
2020,Nusa Tenggara Timur,95.93,BPS NTP (2018=100),real
2020,Papua,102.25,BPS NTP (2018=100),real
2020,Papua Barat,101.78,BPS NTP (2018=100),real
2020,Riau,118.79,BPS NTP (2018=100),real
2020,Sulawesi Barat,109.45,BPS NTP (2018=100),real
2020,Sulawesi Selatan,96.97,BPS NTP (2018=100),real
2020,Sulawesi Tengah,95.27,BPS NTP (2018=100),real
