tahun,provinsi,luas_panen_ha,produksi_ton
2020,ACEH,11581.2,63950.8
2020,BALI,7927.98,34994.61
2020,BANTEN,2945.5,20349.88
2020,BENGKULU,4145.68,23415.58
2020,DI YOGYAKARTA,31380.87,169430.71
2020,GORONTALO,125415.3,580370.29
2020,JAMBI,1111.0,7604.47
2020,JAWA BARAT,59430.55,418401.74
2020,JAWA TENGAH,377065.18,2279146.32
2020,JAWA TIMUR,722182.15,4134908.41
2020,KALIMANTAN BARAT,4721.73,20284.05
2020,KALIMANTAN SELATAN,28796.76,152796.9
2020,KALIMANTAN TENGAH,5816.31,30998.17
2020,KALIMANTAN TIMUR,1989.07,10584.65
2020,KALIMANTAN UTARA,292.82,1169.07
2020,KEP. BANGKA BELITUNG,28.73,126.66
2020,KEP. RIAU,2.75,15.22
2020,LAMPUNG,156654.98,971957.39
2020,MALUKU,4324.52,14934.68
2020,MALUKU UTARA,928.0,3816.09
2020,NUSA TENGGARA BARAT,145562.61,860494.72
2020,NUSA TENGGARA TIMUR,107094.89,255452.99
2020,PAPUA,2617.97,11120.24
2020,PAPUA BARAT,1340.64,5098.77
2020,RIAU,138.92,472.78
2020,SULAWESI BARAT,2297.16,11239.6
2020,SULAWESI SELATAN,213791.89,1086933.12
2020,SULAWESI TENGAH,14648.4,65595.66
2020,SULAWESI TENGGARA,25124.41,98972.12
2020,SULAWESI UTARA,42343.67,174417.59
2020,SUMATERA BARAT,65756.37,425025.38
2020,SUMATERA SELATAN,35073.88,211735.52
2020,SUMATERA UTARA,135334.39,783126.62
2021,ACEH,10289.99,57835.8
2021,BALI,10245.83,50117.54
2021,BANTEN,1375.5,9393.64
2021,BENGKULU,5983.25,36934.89
2021,DI YOGYAKARTA,38391.14,197154.61
2021,GORONTALO,138958.14,669890.37
2021,JAMBI,1665.97,9719.01
2021,JAWA BARAT,68213.91,491527.65
2021,JAWA TENGAH,340315.45,2128959.17
2021,JAWA TIMUR,687502.66,3991492.48
2021,KALIMANTAN BARAT,8916.04,44252.44
2021,KALIMANTAN SELATAN,23340.2,135325.9
2021,KALIMANTAN TENGAH,6591.87,35440.16
2021,KALIMANTAN TIMUR,2526.48,14554.97
2021,KALIMANTAN UTARA,75.36,385.1
2021,KEP. BANGKA BELITUNG,97.31,348.85
2021,KEP. RIAU,2.62,12.84
2021,LAMPUNG,172107.96,1129111.67
2021,MALUKU,3813.08,14691.93
2021,MALUKU UTARA,2042.47,10328.93
2021,NUSA TENGGARA BARAT,156985.86,1019224.88
2021,NUSA TENGGARA TIMUR,111362.16,285344.59
2021,PAPUA,3067.83,16119.68
2021,PAPUA BARAT,1099.9,4753.17
2021,RIAU,306.22,989.61
2021,SULAWESI BARAT,1575.16,7966.76
2021,SULAWESI SELATAN,185724.95,1033341.18
2021,SULAWESI TENGAH,14152.43,63514.84
2021,SULAWESI TENGGARA,19792.32,78350.27
2021,SULAWESI UTARA,39055.74,166579.9
2021,SUMATERA BARAT,67159.49,437814.33
2021,SUMATERA SELATAN,51690.6,316505.64
2021,SUMATERA UTARA,153631.83,956938.92
2022,ACEH,12453.57,72241.64
2022,BALI,10316.71,53206.31
2022,BANTEN,1250.54,9602.73
2022,BENGKULU,10416.56,71755.99
2022,DI YOGYAKARTA,42974.56,218046.4
2022,GORONTALO,140548.34,692439.15
2022,JAMBI,1892.18,10477.45
2022,JAWA BARAT,95689.92,727067.64
2022,JAWA TENGAH,404493.43,2424371.35
2022,JAWA TIMUR,817449.46,4952602.76
2022,KALIMANTAN BARAT,16371.14,71717.47
2022,KALIMANTAN SELATAN,25342.64,152255.06
2022,KALIMANTAN TENGAH,7459.13,35933.96
2022,KALIMANTAN TIMUR,3624.48,17045.44
2022,KALIMANTAN UTARA,163.32,859.57
2022,KEP. BANGKA BELITUNG,62.8,257.95
2022,KEP. RIAU,2.45,12.59
2022,LAMPUNG,223859.75,1443095.58
2022,MALUKU,2698.04,15687.0
2022,MALUKU UTARA,1694.49,7712.31
2022,NUSA TENGGARA BARAT,196064.93,1421921.9
2022,NUSA TENGGARA TIMUR,113624.53,293719.22
2022,PAPUA,3002.53,15140.06
2022,PAPUA BARAT,1351.48,6481.32
2022,RIAU,217.27,752.62
2022,SULAWESI BARAT,5670.96,30186.61
2022,SULAWESI SELATAN,196218.71,1152062.7
2022,SULAWESI TENGAH,22349.74,96199.79
2022,SULAWESI TENGGARA,19674.51,78163.06
2022,SULAWESI UTARA,34918.69,119008.39
2022,SUMATERA BARAT,84565.06,569450.41
2022,SUMATERA SELATAN,60187.49,460321.16
2022,SUMATERA UTARA,207756.79,1307477.02
2023,ACEH,11728.37,66363.62
2023,BALI,9277.78,46901.81
2023,BANTEN,1920.27,14367.12
2023,BENGKULU,7900.85,50421.07
2023,DI YOGYAKARTA,40056.38,217545.73
2023,GORONTALO,114355.96,527923.15
2023,JAMBI,781.46,4724.77
2023,JAWA BARAT,76901.39,577185.49
2023,JAWA TENGAH,371046.77,2174484.3
2023,JAWA TIMUR,759060.89,4795780.82
2023,KALIMANTAN BARAT,15099.14,66248.12
2023,KALIMANTAN SELATAN,18382.82,112150.44
2023,KALIMANTAN TENGAH,5935.59,25482.89
2023,KALIMANTAN TIMUR,1867.63,11228.48
2023,KALIMANTAN UTARA,170.45,856.42
2023,KEP. BANGKA BELITUNG,23.25,111.3
2023,KEP. RIAU,2.07,10.45
2023,LAMPUNG,166215.32,1103640.11
2023,MALUKU,2357.12,7663.29
2023,MALUKU UTARA,1612.53,6870.64
2023,NUSA TENGGARA BARAT,179029.73,1281035.02
2023,NUSA TENGGARA TIMUR,101512.09,261854.94
2023,PAPUA,798.27,3428.88
2023,PAPUA BARAT,735.0,3311.21
2023,PAPUA BARAT DAYA,274.82,1412.21
2023,PAPUA PEGUNUNGAN,66.31,278.85
2023,PAPUA SELATAN,15.32,69.18
2023,PAPUA TENGAH,2092.54,9081.61
2023,RIAU,216.35,688.71
2023,SULAWESI BARAT,5617.09,29097.91
2023,SULAWESI SELATAN,181800.85,1025516.26
2023,SULAWESI TENGAH,18002.68,72981.58
2023,SULAWESI TENGGARA,18987.59,69512.45
2023,SULAWESI UTARA,25262.2,83046.33
2023,SUMATERA BARAT,79630.77,495223.45
2023,SUMATERA SELATAN,46247.92,284643.31
2023,SUMATERA UTARA,211105.36,1343290.59
2024,ACEH,10090.26,52249.4
2024,BALI,7669.79,39055.43
2024,BANTEN,2112.0,12677.14
2024,BENGKULU,9861.27,62876.83
2024,DI YOGYAKARTA,37546.96,189378.3
2024,GORONTALO,128230.6,625972.1
2024,JAMBI,1514.03,10530.87
