tahun,provinsi,luas_panen_ha,produksi_ton
2018,ACEH,329515.78,1861567.1
2018,BALI,110978.37,667069.06
2018,BANTEN,344836.06,1687783.3
2018,BENGKULU,65891.16,288810.52
2018,DI YOGYAKARTA,93956.45,514935.49
2018,DKI JAKARTA,673.37,4899.14
2018,GORONTALO,56631.64,269540.4
2018,JAMBI,86202.68,383045.74
2018,JAWA BARAT,1707253.81,9647358.75
2018,JAWA TENGAH,1821983.17,10499588.23
2018,JAWA TIMUR,1751191.67,10203213.17
2018,KALIMANTAN BARAT,286476.03,799715.21
2018,KALIMANTAN SELATAN,323091.21,1327492.41
2018,KALIMANTAN TENGAH,147571.69,514769.05
2018,KALIMANTAN TIMUR,64961.16,262773.88
2018,KALIMANTAN UTARA,13707.0,45063.53
2018,KEP. BANGKA BELITUNG,17233.59,45724.69
2018,KEP. RIAU,375.87,1097.0
2018,LAMPUNG,511940.93,2488641.91
2018,MALUKU,29052.14,116228.86
2018,MALUKU UTARA,13412.75,49047.11
2018,NUSA TENGGARA BARAT,289242.59,1460338.81
2018,NUSA TENGGARA TIMUR,218232.91,899935.88
2018,PAPUA,52411.95,223119.42
2018,PAPUA BARAT,7767.01,24967.13
2018,RIAU,71448.08,266375.53
2018,SULAWESI BARAT,65303.78,316478.37
2018,SULAWESI SELATAN,1185484.1,5952616.45
2018,SULAWESI TENGAH,201279.24,926978.66
2018,SULAWESI TENGGARA,136673.75,538876.14
2018,SULAWESI UTARA,70352.62,326929.74
2018,SUMATERA BARAT,313050.82,1483076.48
2018,SUMATERA SELATAN,581574.61,2994191.84
2018,SUMATERA UTARA,408176.45,2108284.72
2019,ACEH,310012.46,1714437.6
2019,BALI,95319.34,579320.53
2019,BANTEN,303731.8,1470503.35
2019,BENGKULU,64406.86,296472.07
2019,DI YOGYAKARTA,111477.36,533477.4
2019,DKI JAKARTA,622.59,3359.31
2019,GORONTALO,49009.95,231211.11
2019,JAMBI,69536.06,309932.68
2019,JAWA BARAT,1578835.7,9084957.22
2019,JAWA TENGAH,1678479.21,9655653.98
2019,JAWA TIMUR,1702426.36,9580933.88
2019,KALIMANTAN BARAT,290048.44,847875.13
2019,KALIMANTAN SELATAN,356245.95,1342861.82
2019,KALIMANTAN TENGAH,146144.51,443561.33
2019,KALIMANTAN TIMUR,69707.75,253818.37
2019,KALIMANTAN UTARA,10294.7,33357.19
2019,KEP. BANGKA BELITUNG,17087.81,48805.68
2019,KEP. RIAU,356.27,1150.8
2019,LAMPUNG,464103.42,2164089.33
2019,MALUKU,25976.85,98254.75
2019,MALUKU UTARA,11700.5,37945.64
2019,NUSA TENGGARA BARAT,281666.04,1402182.39
2019,NUSA TENGGARA TIMUR,198867.41,811724.18
2019,PAPUA,54131.72,235339.51
2019,PAPUA BARAT,7192.15,29943.56
2019,RIAU,63142.04,230873.97
2019,SULAWESI BARAT,62581.47,300142.22
2019,SULAWESI SELATAN,1010188.75,5054166.96
2019,SULAWESI TENGAH,186100.44,844904.3
2019,SULAWESI TENGGARA,132343.86,519706.93
2019,SULAWESI UTARA,62020.39,277776.31
2019,SUMATERA BARAT,311671.23,1482996.01
2019,SUMATERA SELATAN,539316.52,2603396.24
2019,SUMATERA UTARA,413141.24,2078901.59
2020,ACEH,317869.41,1757313.07
2020,BALI,90980.69,532168.45
2020,BANTEN,325333.24,1655170.09
2020,BENGKULU,64137.28,292834.04
2020,DI YOGYAKARTA,110548.12,523395.95
2020,DKI JAKARTA,914.51,4543.93
2020,GORONTALO,48686.34,227627.2
2020,JAMBI,84772.93,386413.49
2020,JAWA BARAT,1586888.63,9016772.58
2020,JAWA TENGAH,1666931.49,9489164.62
2020,JAWA TIMUR,1754380.3,9944538.26
2020,KALIMANTAN BARAT,256575.43,778170.36
2020,KALIMANTAN SELATAN,289836.35,1150306.66
2020,KALIMANTAN TENGAH,143275.05,457952.0
2020,KALIMANTAN TIMUR,73568.44,262434.52
2020,KALIMANTAN UTARA,9883.05,33574.28
2020,KEP. BANGKA BELITUNG,17840.55,57324.32
2020,KEP. RIAU,298.52,852.54
2020,LAMPUNG,545149.05,2650289.64
2020,MALUKU,28668.22,110447.3
2020,MALUKU UTARA,10301.91,43382.85
2020,NUSA TENGGARA BARAT,273460.82,1317189.81
2020,NUSA TENGGARA TIMUR,181690.63,725024.3
2020,PAPUA,52727.52,166002.3
2020,PAPUA BARAT,7570.63,24378.33
2020,RIAU,64733.13,243685.04
2020,SULAWESI BARAT,64826.18,345050.37
2020,SULAWESI SELATAN,976258.14,4708464.97
2020,SULAWESI TENGAH,178066.94,792248.84
2020,SULAWESI TENGGARA,133697.15,532773.49
2020,SULAWESI UTARA,61827.86,248879.48
2020,SUMATERA BARAT,295664.47,1387269.29
2020,SUMATERA SELATAN,551320.76,2743059.68
2020,SUMATERA UTARA,388591.22,2040500.19
2021,ACEH,297058.38,1634639.6
2021,BALI,105201.31,618910.81
2021,BANTEN,318248.46,1603247.0
2021,BENGKULU,55704.69,271117.19
2021,DI YOGYAKARTA,107506.16,556531.03
2021,DKI JAKARTA,559.97,3249.47
2021,GORONTALO,48713.5,234392.86
2021,JAMBI,64412.26,298149.25
2021,JAWA BARAT,1604109.31,9113573.08
2021,JAWA TENGAH,1696712.36,9618656.81
2021,JAWA TIMUR,1747481.2,9789587.67
2021,KALIMANTAN BARAT,223165.74,711898.01
2021,KALIMANTAN SELATAN,254263.59,1016313.55
2021,KALIMANTAN TENGAH,125870.05,381189.55
2021,KALIMANTAN TIMUR,66269.46,244677.96
2021,KALIMANTAN UTARA,8880.83,29967.31
2021,KEP. BANGKA BELITUNG,18278.27,70496.25
2021,KEP. RIAU,270.16,855.01
2021,LAMPUNG,489573.23,2485452.78
2021,MALUKU,28319.75,116803.67
2021,MALUKU UTARA,7781.96,28050.8
2021,NUSA TENGGARA BARAT,276211.88,1419559.84
2021,NUSA TENGGARA TIMUR,174900.07,731877.74
2021,PAPUA,64984.9,286279.8
2021,PAPUA BARAT,6414.94,26926.93
2021,RIAU,53062.35,217458.87
2021,SULAWESI BARAT,59763.18,311072.46
2021,SULAWESI SELATAN,985158.23,5090637.23
2021,SULAWESI TENGAH,182186.62,867012.77
2021,SULAWESI TENGGARA,127517.29,530029.08
2021,SULAWESI UTARA,59182.52,232884.76
2021,SUMATERA BARAT,272391.95,1317209.38
2021,SUMATERA SELATAN,496241.65,2552443.19
2021,SUMATERA UTARA,385405.0,2004142.51
2022,ACEH,271750.2,1509456.0
2022,BALI,112320.6,680601.6
2022,BANTEN,337240.7,1788583.0
2022,BENGKULU,57151.84,281610.1
2022,DI YOGYAKARTA,110927.2,561699.5
2022,DKI JAKARTA,477.25,2337.77
2022,GORONTALO,46823.47,240134.5
2022,JAMBI,60539.59,277743.8
2022,JAWA BARAT,1662404.0,9433723.0
2022,JAWA TENGAH,1688670.0,9356445.0
2022,JAWA TIMUR,1693211.0,9526516.0
2022,KALIMANTAN BARAT,241478.6,731225.8
2022,KALIMANTAN SELATAN,214908.9,819419.2
2022,KALIMANTAN TENGAH,108226.8,343918.8
2022,KALIMANTAN TIMUR,64970.01,239425.3
2022,KALIMANTAN UTARA,8604.19,30533.59
2022,KEP. BANGKA BELITUNG,15107.8,61425.07
2022,KEP. RIAU,179.48,506.91
2022,LAMPUNG,518256.1,2688160.0
2022,MALUKU,23987.82,92601.06
2022,MALUKU UTARA,6416.45,24486.03
2022,NUSA TENGGARA BARAT,270092.9,1452945.0
2022,NUSA TENGGARA TIMUR,183092.0,756049.9
2022,PAPUA,49741.91,193943.5
2022,PAPUA BARAT,5460.59,23963.92
2022,RIAU,51054.04,213557.2
2022,SULAWESI BARAT,69323.95,353513.3
2022,SULAWESI SELATAN,1038084.0,5360169.0
2022,SULAWESI TENGAH,168993.2,744408.7
2022,SULAWESI TENGGARA,118258.8,478958.0
2022,SULAWESI UTARA,58195.56,243730.3
2022,SUMATERA BARAT,271883.1,1373532.0
2022,SUMATERA SELATAN,513378.2,2775069.0
2022,SUMATERA UTARA,411462.1,2088584.0
2023,ACEH,254287.38,1404234.82
2023,BALI,108514.06,673580.65
2023,BANTEN,311199.73,1686483.29
2023,BENGKULU,57877.18,286684.43
2023,DI YOGYAKARTA,105693.66,534113.69
2023,DKI JAKARTA,542.93,2674.28
2023,GORONTALO,49610.47,251431.76
2023,JAMBI,61236.64,275941.45
2023,JAWA BARAT,1583656.28,9140039.2
2023,JAWA TENGAH,1642761.23,9084107.53
2023,JAWA TIMUR,1698083.31,9710661.33
2023,KALIMANTAN BARAT,224068.52,700290.8
2023,KALIMANTAN SELATAN,214283.82,875545.73
2023,KALIMANTAN TENGAH,101580.3,330781.05
2023,KALIMANTAN TIMUR,57082.01,226972.07
2023,KALIMANTAN UTARA,6499.92,23602.0
2023,KEP. BANGKA BELITUNG,15284.56,66468.89
2023,KEP. RIAU,115.27,324.01
2023,LAMPUNG,530108.09,2757898.19
2023,MALUKU,22636.68,79958.34
2023,MALUKU UTARA,7709.07,26663.23
2023,NUSA TENGGARA BARAT,287512.14,1538536.92
2023,NUSA TENGGARA TIMUR,184698.89,766810.46
2023,PAPUA,840.18,3760.45
2023,PAPUA BARAT,5006.27,22566.81
2023,PAPUA BARAT DAYA,579.83,2396.95
2023,PAPUA PEGUNUNGAN,14.14,61.63
2023,PAPUA SELATAN,44807.86,183627.83
2023,PAPUA TENGAH,2094.2,9273.22
2023,RIAU,51914.14,205972.55
2023,SULAWESI BARAT,58606.67,291458.59
2023,SULAWESI SELATAN,967790.21,4876386.11
2023,SULAWESI TENGAH,177699.03,821367.41
2023,SULAWESI TENGGARA,113930.26,479407.25
2023,SULAWESI UTARA,54562.95,238193.41
2023,SUMATERA BARAT,300564.77,1482468.79
2023,SUMATERA SELATAN,504143.03,2832773.92
2023,SUMATERA UTARA,406109.49,2087474.15
2024,ACEH,301196.35,1659966.28
2024,BALI,103803.93,635473.35
2024,BANTEN,299090.79,1550623.46
2024,BENGKULU,55775.09,272848.55
2024,DI YOGYAKARTA,96976.13,452831.77
2024,DKI JAKARTA,498.31,2306.54
2024,GORONTALO,46952.15,234862.88
2024,JAMBI,61625.68,281022.05
2024,JAWA BARAT,1475362.09,8626879.91
2024,JAWA TENGAH,1554777.14,8891297.05
2024,JAWA TIMUR,1616985.05,9270435.29
2024,KALIMANTAN BARAT,247207.72,764784.15
2024,KALIMANTAN SELATAN,246112.42,1029567.93
2024,KALIMANTAN TENGAH,111016.13,366146.82
2024,KALIMANTAN TIMUR,63041.65,249642.9
2024,KALIMANTAN UTARA,8282.06,30079.77
2024,KEP. BANGKA BELITUNG,18202.56,77489.79
2024,KEP. RIAU,113.33,305.09
2024,LAMPUNG,531715.12,2791347.53
2024,MALUKU,23947.35,91125.35
2024,MALUKU UTARA,9366.71,31232.95
2024,NUSA TENGGARA BARAT,281717.84,1453408.37
2024,NUSA TENGGARA TIMUR,168727.24,707792.54
2024,PAPUA,1068.57,4609.95
2024,PAPUA BARAT,5121.13,20729.15
2024,PAPUA BARAT DAYA,363.87,988.64
2024,PAPUA PEGUNUNGAN,9.66,42.38
2024,PAPUA SELATAN,47168.57,217789.62
2024,PAPUA TENGAH,1436.12,6072.38
2024,RIAU,56421.96,222055.71
2024,SULAWESI BARAT,63181.59,318876.59
2024,SULAWESI SELATAN,951308.6,4818429.39
2024,SULAWESI TENGAH,172606.22,761936.39
2024,SULAWESI TENGGARA,129999.61,555836.08
2024,SULAWESI UTARA,59121.96,273134.94
2024,SUMATERA BARAT,295278.98,1356467.93
2024,SUMATERA SELATAN,521092.21,2909411.67
2024,SUMATERA UTARA,419463.48,2204875.51
