tahun,provinsi,jenis_harga,nilai_miliar_rp,sumber,status
2020,Aceh,Berlaku,51548.0,BPS PDRB,real
2021,Aceh,Berlaku,55611.0,BPS PDRB,real
2022,Aceh,Berlaku,62299.0,BPS PDRB,real
2023,Aceh,Berlaku,69757.0,BPS PDRB,real
2024,Aceh,Berlaku,75318.0,BPS PDRB,real
2020,Aceh,Konstan,37900.0,BPS PDRB,real
2021,Aceh,Konstan,37768.0,BPS PDRB,real
2022,Aceh,Konstan,39005.0,BPS PDRB,real
2023,Aceh,Konstan,41626.0,BPS PDRB,real
2024,Aceh,Konstan,42121.0,BPS PDRB,real
2020,Sumatera Utara,Berlaku,173075.0,BPS PDRB,real
2021,Sumatera Utara,Berlaku,189491.0,BPS PDRB,real
2022,Sumatera Utara,Berlaku,219416.0,BPS PDRB,real
2023,Sumatera Utara,Berlaku,247948.0,BPS PDRB,real
2024,Sumatera Utara,Berlaku,280263.0,BPS PDRB,real
2020,Sumatera Utara,Konstan,136327.0,BPS PDRB,real
2021,Sumatera Utara,Konstan,141601.0,BPS PDRB,real
2022,Sumatera Utara,Konstan,148722.0,BPS PDRB,real
2023,Sumatera Utara,Konstan,153238.0,BPS PDRB,real
2024,Sumatera Utara,Konstan,158953.0,BPS PDRB,real
2020,Sumatera Barat,Berlaku,54099.0,BPS PDRB,real
2021,Sumatera Barat,Berlaku,54886.0,BPS PDRB,real
2022,Sumatera Barat,Berlaku,60510.0,BPS PDRB,real
2023,Sumatera Barat,Berlaku,65801.0,BPS PDRB,real
2024,Sumatera Barat,Berlaku,71162.0,BPS PDRB,real
2020,Sumatera Barat,Konstan,37993.0,BPS PDRB,real
2021,Sumatera Barat,Konstan,38821.0,BPS PDRB,real
2022,Sumatera Barat,Konstan,40189.0,BPS PDRB,real
2023,Sumatera Barat,Konstan,41613.0,BPS PDRB,real
2024,Sumatera Barat,Konstan,42468.0,BPS PDRB,real
2020,Riau,Berlaku,194661.0,BPS PDRB,real
2021,Riau,Berlaku,225489.0,BPS PDRB,real
2022,Riau,Berlaku,253079.0,BPS PDRB,real
2023,Riau,Berlaku,269938.0,BPS PDRB,real
2024,Riau,Berlaku,301626.0,BPS PDRB,real
2020,Riau,Konstan,135124.0,BPS PDRB,real
2021,Riau,Konstan,140718.0,BPS PDRB,real
2022,Riau,Konstan,144691.0,BPS PDRB,real
2023,Riau,Konstan,149361.0,BPS PDRB,real
2024,Riau,Konstan,152698.0,BPS PDRB,real
2020,Jambi,Berlaku,63563.0,BPS PDRB,real
2021,Jambi,Berlaku,73232.0,BPS PDRB,real
2022,Jambi,Berlaku,83576.0,BPS PDRB,real
2023,Jambi,Berlaku,93493.0,BPS PDRB,real
2024,Jambi,Berlaku,109582.0,BPS PDRB,real
2020,Jambi,Konstan,39752.0,BPS PDRB,real
2021,Jambi,Konstan,41209.0,BPS PDRB,real
2022,Jambi,Konstan,43268.0,BPS PDRB,real
2023,Jambi,Konstan,45697.0,BPS PDRB,real
2024,Jambi,Konstan,47640.0,BPS PDRB,real
2020,Sumatera Selatan,Berlaku,68961.0,BPS PDRB,real
2021,Sumatera Selatan,Berlaku,72602.0,BPS PDRB,real
2022,Sumatera Selatan,Berlaku,77172.0,BPS PDRB,real
2023,Sumatera Selatan,Berlaku,82400.0,BPS PDRB,real
2024,Sumatera Selatan,Berlaku,90047.0,BPS PDRB,real
2020,Sumatera Selatan,Konstan,53282.0,BPS PDRB,real
2021,Sumatera Selatan,Konstan,54835.0,BPS PDRB,real
2022,Sumatera Selatan,Konstan,56927.0,BPS PDRB,real
2023,Sumatera Selatan,Konstan,58154.0,BPS PDRB,real
2024,Sumatera Selatan,Konstan,59660.0,BPS PDRB,real
2020,Bengkulu,Berlaku,20782.0,BPS PDRB,real
2021,Bengkulu,Berlaku,22533.0,BPS PDRB,real
2022,Bengkulu,Berlaku,24951.0,BPS PDRB,real
2023,Bengkulu,Berlaku,27288.0,BPS PDRB,real
2024,Bengkulu,Berlaku,31019.0,BPS PDRB,real
2020,Bengkulu,Konstan,12796.0,BPS PDRB,real
2021,Bengkulu,Konstan,13110.0,BPS PDRB,real
2022,Bengkulu,Konstan,13699.0,BPS PDRB,real
2023,Bengkulu,Konstan,13982.0,BPS PDRB,real
2024,Bengkulu,Konstan,14341.0,BPS PDRB,real
2020,Lampung,Berlaku,104967.0,BPS PDRB,real
2021,Lampung,Berlaku,105185.0,BPS PDRB,real
2022,Lampung,Berlaku,115452.0,BPS PDRB,real
2023,Lampung,Berlaku,122528.0,BPS PDRB,real
2024,Lampung,Berlaku,126802.0,BPS PDRB,real
2020,Lampung,Konstan,68312.0,BPS PDRB,real
2021,Lampung,Konstan,67970.0,BPS PDRB,real
2022,Lampung,Konstan,69318.0,BPS PDRB,real
2023,Lampung,Konstan,69691.0,BPS PDRB,real
2024,Lampung,Konstan,68237.0,BPS PDRB,real
2020,Kepulauan Bangka Belitung,Berlaku,15444.0,BPS PDRB,real
2021,Kepulauan Bangka Belitung,Berlaku,16887.0,BPS PDRB,real
2022,Kepulauan Bangka Belitung,Berlaku,18274.0,BPS PDRB,real
2023,Kepulauan Bangka Belitung,Berlaku,19997.0,BPS PDRB,real
2024,Kepulauan Bangka Belitung,Berlaku,21786.0,BPS PDRB,real
2020,Kepulauan Bangka Belitung,Konstan,10666.0,BPS PDRB,real
2021,Kepulauan Bangka Belitung,Konstan,10769.0,BPS PDRB,real
2022,Kepulauan Bangka Belitung,Konstan,10876.0,BPS PDRB,real
2023,Kepulauan Bangka Belitung,Konstan,11282.0,BPS PDRB,real
2024,Kepulauan Bangka Belitung,Konstan,11635.0,BPS PDRB,real
2020,Kepulauan Riau,Berlaku,8047.0,BPS PDRB,real
2021,Kepulauan Riau,Berlaku,8462.0,BPS PDRB,real
2022,Kepulauan Riau,Berlaku,9371.0,BPS PDRB,real
2023,Kepulauan Riau,Berlaku,9899.0,BPS PDRB,real
2024,Kepulauan Riau,Berlaku,10356.0,BPS PDRB,real
2020,Kepulauan Riau,Konstan,5467.0,BPS PDRB,real
2021,Kepulauan Riau,Konstan,5322.0,BPS PDRB,real
2022,Kepulauan Riau,Konstan,5602.0,BPS PDRB,real
2023,Kepulauan Riau,Konstan,5688.0,BPS PDRB,real
2024,Kepulauan Riau,Konstan,5720.0,BPS PDRB,real
2020,DKI Jakarta,Berlaku,2237.0,BPS PDRB,real
2021,DKI Jakarta,Berlaku,2377.0,BPS PDRB,real
2022,DKI Jakarta,Berlaku,2531.0,BPS PDRB,real
